City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Tiksi,71.6872,128.8694,-10.71,100,100,6.58,RU,1643674237
Puerto Carreño,6.189,-67.4859,86.99,33,65,6.38,CO,1643674644
Richards Bay,-28.783,32.0377,74.35,82,61,9.89,ZA,1643674645
Rikitea,-23.1203,-134.9692,78.01,67,66,4.72,PF,1643674646
Port Alfred,-33.5906,26.891,74.95,96,100,5.82,ZA,1643674647
Kapit,2.0167,112.9333,73.56,98,100,2.15,MY,1643674648
Badiraguato,25.3667,-107.5167,74.7,25,56,6.91,MX,1643674649
Mandera,3.9366,41.867,75.6,58,87,14.0,KE,1643674649
Muros,42.7762,-9.0603,51.1,75,6,14.52,ES,1643674650
Haines Junction,60.7522,-137.5108,-7.51,97,89,0.22,CA,1643674652
Tuktoyaktuk,69.4541,-133.0374,-16.6,76,40,0.0,CA,1643674652
Cherskiy,68.75,161.3,-10.61,91,100,3.62,RU,1643674653
Kaitangata,-46.2817,169.8464,70.93,74,65,5.79,NZ,1643674485
Busselton,-33.65,115.3333,65.05,53,1,17.31,AU,1643674655
New Norfolk,-42.7826,147.0587,83.7,36,27,3.0,AU,1643674655
Barrow,71.2906,-156.7887,-14.78,76,0,8.05,US,1643674650
Severnoye,56.3491,78.3619,13.46,95,95,9.08,RU,1643674657
Ushuaia,-54.8,-68.3,42.46,81,75,23.02,AR,1643674657
Kapaa,22.0752,-159.319,78.78,70,0,3.44,US,1643674658
Mossamedes,-15.1961,12.1522,71.78,72,99,8.68,AO,1643674573
Ossora,59.2353,163.0719,19.96,94,100,13.98,RU,1643674660
Punta Arenas,-53.15,-70.9167,46.51,76,75,12.66,CL,1643674496
Albany,42.6001,-73.9662,19.58,66,15,1.9,US,1643674622
Faanui,-16.4833,-151.75,81.05,72,6,21.18,PF,1643674662
Bunia,1.5667,30.25,66.83,50,100,1.14,CD,1643674662
Bredasdorp,-34.5322,20.0403,73.27,88,23,11.5,ZA,1643674663
Qaanaaq,77.484,-69.3632,-21.96,53,0,11.34,GL,1643674664
George Town,5.4112,100.3354,79.9,86,20,2.3,MY,1643674511
Atuona,-9.8,-139.0333,78.46,77,14,18.12,PF,1643674666
Mataura,-46.1927,168.8643,75.47,50,65,1.88,NZ,1643674668
Chokurdakh,70.6333,147.9167,-13.92,95,100,2.24,RU,1643674559
Geraldton,-28.7667,114.6,73.81,53,3,23.02,AU,1643674669
Srednekolymsk,67.45,153.6833,-14.15,92,100,4.65,RU,1643674670
Bud,39.447,-86.1758,36.7,71,69,7.05,US,1643674671
Isangel,-19.55,169.2667,78.19,90,100,10.51,VU,1643674492
Avarua,-21.2078,-159.775,75.25,94,40,6.91,CK,1643674486
Port Macquarie,-31.4333,152.9167,85.89,66,8,3.29,AU,1643674673
Ballitoville,-29.539,31.2144,77.16,88,20,6.91,ZA,1643674674
Opuwo,-18.0607,13.84,62.46,63,100,7.0,NA,1643674675
Hasaki,35.7333,140.8333,41.29,40,44,4.47,JP,1643674506
Yangi Marg`ilon,40.4272,71.7189,27.82,80,95,4.61,UZ,1643674495
